"","Hit","TTseq_Pos","TTseq_Neg","TTseq_Total","RNAseq_Pos","RNAseq_Neg","RNAseq_Total","TPM_TTseq_Total","TPM_TTseq_Pos","TPM_TTseq_Neg","TPM_RNAseq_Total","TPM_RNAseq_Pos","TPM_RNAseq_Neg","FractionPos_TTseq","FractionPos_RNAseq","Ratio_TTversusRNA","PassThresh_TT","PassThresh_RNA","TT_Enrich"
"Enh99",FALSE,1,4,5,0,1,1,0.0788463964807763,0.0157692792961553,0.063077117184621,0.0150922795549583,0,0.0150922795549583,0.2,0,4.96039603960396,TRUE,FALSE,TRUE
"Enh100",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh101",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh1",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh2",TRUE,15,0,15,6,0,6,0.236539189442329,0.236539189442329,0,0.0905536773297495,0.0905536773297495,0,1,1,2.49750415973378,TRUE,TRUE,TRUE
"Enh3",FALSE,11,0,11,0,0,0,0.173462072257708,0.173462072257708,0,0,0,0,1,0,1101,TRUE,FALSE,TRUE
"Enh4",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh5",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh6",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh7",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh8",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh9",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh10",FALSE,2,0,2,1,0,1,0.0315385585923105,0.0315385585923105,0,0.0150922795549583,0.0150922795549583,0,1,1,1.99009900990099,FALSE,FALSE,FALSE
"Enh11",FALSE,0,13,13,4,0,4,0.205000630850018,0,0.205000630850018,0.060369118219833,0.060369118219833,0,0,1,3.24438902743142,TRUE,TRUE,TRUE
"Enh12",FALSE,0,1,1,0,0,0,0.0157692792961553,0,0.0157692792961553,0,0,0,0,0,101,FALSE,FALSE,FALSE
"Enh13",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh14",FALSE,1,33,34,0,8,8,0.536155496069278,0.0157692792961553,0.520386216773123,0.120738236439666,0,0.120738236439666,0.0294117647058824,0,4.24594257178527,TRUE,TRUE,TRUE
"Enh15",FALSE,1,0,1,0,0,0,0.0157692792961553,0.0157692792961553,0,0,0,0,1,0,101,FALSE,FALSE,FALSE
"Enh16",TRUE,1,4,5,0,2,2,0.0788463964807763,0.0157692792961553,0.063077117184621,0.0301845591099165,0,0.0301845591099165,0.2,0,2.49253731343284,TRUE,FALSE,TRUE
"Enh17",FALSE,1,1,2,1,1,2,0.0315385585923105,0.0157692792961553,0.0157692792961553,0.0301845591099165,0.0150922795549583,0.0150922795549583,0.5,0.5,1,FALSE,FALSE,FALSE
"Enh18",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh19",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh20",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh21",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh22",FALSE,7,1,8,1,0,1,0.126154234369242,0.110384955073087,0.0157692792961553,0.0150922795549583,0.0150922795549583,0,0.875,1,7.93069306930693,TRUE,FALSE,TRUE
"Enh24",FALSE,0,12,12,0,6,6,0.189231351553863,0,0.189231351553863,0.0905536773297495,0,0.0905536773297495,0,0,1.99833610648918,TRUE,TRUE,TRUE
"Enh25",FALSE,7,7,14,0,2,2,0.220769910146173,0.110384955073087,0.110384955073087,0.0301845591099165,0,0.0301845591099165,0.5,0,6.97014925373134,TRUE,FALSE,TRUE
"Enh26",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh27",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh28",FALSE,1,1,2,0,0,0,0.0315385585923105,0.0157692792961553,0.0157692792961553,0,0,0,0.5,0,201,FALSE,FALSE,FALSE
"Enh29",FALSE,2,0,2,0,0,0,0.0315385585923105,0.0315385585923105,0,0,0,0,1,0,201,FALSE,FALSE,FALSE
"Enh30",TRUE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh31",TRUE,24,33,57,3,17,20,0.898848919880849,0.378462703107726,0.520386216773123,0.301845591099165,0.0452768386648748,0.25656875243429,0.421052631578947,0.15,2.84907546226887,TRUE,TRUE,TRUE
"Enh32",TRUE,65,5,70,18,2,20,1.10384955073087,1.02500315425009,0.0788463964807763,0.301845591099165,0.271661031989249,0.0301845591099165,0.928571428571429,0.9,3.49875062468766,TRUE,TRUE,TRUE
"Enh33",TRUE,28,5,33,3,1,4,0.520386216773123,0.441539820292347,0.0788463964807763,0.060369118219833,0.0452768386648748,0.0150922795549583,0.848484848484849,0.75,8.23192019950125,TRUE,TRUE,TRUE
"Enh36",FALSE,1,6,7,1,3,4,0.110384955073087,0.0157692792961553,0.0946156757769315,0.060369118219833,0.0150922795549583,0.0452768386648748,0.142857142857143,0.25,1.74812967581047,TRUE,TRUE,TRUE
"Enh37",TRUE,11,8,19,0,2,2,0.29961630662695,0.173462072257708,0.126154234369242,0.0301845591099165,0,0.0301845591099165,0.578947368421053,0,9.45771144278607,TRUE,FALSE,TRUE
"Enh38",FALSE,8,12,20,2,3,5,0.315385585923105,0.126154234369242,0.189231351553863,0.0754613977747913,0.0301845591099165,0.0452768386648748,0.4,0.4,3.9940119760479,TRUE,TRUE,TRUE
"Enh39",FALSE,8,2,10,1,0,1,0.157692792961553,0.126154234369242,0.0315385585923105,0.0150922795549583,0.0150922795549583,0,0.8,1,9.91089108910891,TRUE,FALSE,TRUE
"Enh40",FALSE,7,1,8,0,0,0,0.126154234369242,0.110384955073087,0.0157692792961553,0,0,0,0.875,0,801,TRUE,FALSE,TRUE
"Enh41",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh42",FALSE,2,0,2,0,0,0,0.0315385585923105,0.0315385585923105,0,0,0,0,1,0,201,FALSE,FALSE,FALSE
"Enh45",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh46",FALSE,2,17,19,0,7,7,0.29961630662695,0.0315385585923105,0.268077748034639,0.105645956884708,0,0.105645956884708,0.105263157894737,0,2.71184022824536,TRUE,TRUE,TRUE
"Enh47",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh48",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh49",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh50",TRUE,14,28,42,2,122,124,0.66230973043852,0.220769910146173,0.441539820292347,1.87144266481482,0.0301845591099165,1.84125810570491,0.333333333333333,0.0161290322580645,0.33876300298363,TRUE,TRUE,FALSE
"Enh51",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh57",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh58",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh59",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh60",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh61",FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,FALSE,FALSE,FALSE
"Enh131",FALSE,0,10,10,0,0,0,0.157692792961553,0,0.157692792961553,0,0,0,0,0,1001,TRUE,FALSE,TRUE
