"","TTseq_Counts","RNAseq_Counts","RNAseq_CPM","TTseq_CPM","RNAseq_RPKM","TTseq_RPKM"
"TRIM16",532,2036,30.727881173895,8.02909272323779,5.44820588189628,1.42359800057408
"AC005324.5",4,0,0,0.060369118219833,0,0.105725250822825
"ZNF286A",469,1123,16.9486299402181,7.07827911127542,2.50942107495086,1.04801289773104
"TBC1D26",6,7,0.105645956884708,0.0905536773297495,0.0185376306167236,0.0158893976714774
"AC005324.1",0,0,0,0,0,0
"AC005324.2",0,0,0,0,0,0
"AC015922.2",0,0,0,0,0,0
"AC015922.3",34,190,2.86753311544207,0.513137504868581,4.15584509484358,0.743677543287798
"LINC02087",0,0,0,0,0,0
"ADORA2B",83,168,2.53550296523299,1.25265920306154,0.993925113772241,0.491046335970809
"ZSWIM7",75,219,3.30520922253586,1.13192096662187,1.29160188453922,0.442329412513431
"TTC19",725,1192,17.9899972295102,10.9419026773447,2.9715885744153,1.80738399031132
"AC002553.2",41,21,0.316937870654123,0.618783461753288,0.957516225541158,1.86943644034226
"NCOR1",3024,9841,148.523123100344,45.6390533741938,9.64185426514828,2.962805334601
"AC002553.1",23,7,0.105645956884708,0.34712242976404,0.131728125791406,0.432820984743192
"PIGL",247,441,6.65569528373659,3.72779305007469,1.08011932550091,0.604964792287356
"CENPV",78,163,2.4600415674582,1.17719780528674,0.863172479809893,0.413051861504121
"UBB",1474,13437,202.794960379974,22.2460200640085,129.416056400749,14.1965667287865
"AC093484.3",0,6,0.0905536773297495,0,0.196428801149131,0
"AC093484.2",0,0,0,0,0,0
"TRPV2",4,25,0.377306988873956,0.060369118219833,0.11159627000117,0.0178554032001872
"SNHG29",2527,10056,151.76796320466,38.1381904353795,21.1493817174833,5.31468651552111
"AC093484.4",5,5,0.0754613977747913,0.0754613977747913,0.248228282153919,0.248228282153919
"LRRC75A",44,73,1.10173640751195,0.664060300418163,0.294976280458354,0.177793922468049
"AC127540.2",0,0,0,0,0,0
"ZNF287",274,546,8.24038463700721,4.13528459805856,1.03043449256061,0.517104488940673
"AC127540.1",28,5,0.0754613977747913,0.422583827538831,0.109523073693456,0.613329212683354
"ZNF624",143,296,4.46731474826764,2.15819597635903,0.877147996910984,0.423757309318482
"AC098850.2",0,0,0,0,0,0
"CCDC144A",1,16,0.241476472879332,0.0150922795549583,0.0155110786792993,0.000969442417456209
"AC098850.1",0,0,0,0,0,0
"FAM106C",0,0,0,0,0,0
"AC022596.1",0,0,0,0,0,0
"AC022596.2",0,0,0,0,0,0
"TNFRSF13B",0,0,0,0,0,0
"AC104024.1",0,0,0,0,0,0
"LINC02090",0,0,0,0,0,0
"AC104024.2",0,0,0,0,0,0
"AC104024.3",0,0,0,0,0,0
"AC104024.4",4,3,0.0452768386648748,0.060369118219833,0.0300244288228613,0.040032571763815
"MPRIP",3338,14220,214.612215271506,50.3780291544507,11.8217591314039,2.77503741073321
"MPRIP-AS1",0,0,0,0,0,0
"AC055811.1",0,0,0,0,0,0
"PLD6",113,184,2.77697943811232,1.70542758971028,1.07718364550517,0.661531260554803
"FLCN",1285,3503,52.8682552810188,19.3935792281214,5.40243769476995,1.98176775272035
"AC055811.3",103,16,0.241476472879332,1.5545047941607,0.352006520232262,2.26604197399519
"COPS3",608,1838,27.7396098220133,9.17610596941462,9.3336506803544,3.0875188322391
"NT5M",12,26,0.392399268428915,0.181107354659499,0.200101615721017,0.0923545918712387
"MED9",356,458,6.91226403617088,5.37285152156514,1.15493133436439,0.897719552475378
"RASD1",14,83,1.25265920306154,0.211291913769416,0.716624258044356,0.120876380874952
"AC020558.6",0,1,0.0150922795549583,0,0.0184052189694613,0
"PEMT",64,369,5.5690511557796,0.965905891517328,3.23782043940674,0.561573192742633
"AC020558.2",0,0,0,0,0,0
"AC020558.1",3,2,0.0301845591099165,0.0452768386648748,0.071022492023333,0.106533738034999
"SMCR2",1,1,0.0150922795549583,0.0150922795549583,0.0267593609130466,0.0267593609130466
"RAI1",901,3483,52.5664096899196,13.5981438790174,5.41475171919238,1.40071527389961
"RAI1-AS1",0,0,0,0,0,0
"SMCR5",0,0,0,0,0,0
"AC122129.2",34,15,0.226384193324374,0.513137504868581,0.485802989966467,1.10115344392399
"SREBF1",568,1950,29.4299451321686,8.57241478721629,3.57029541819345,1.0399629730943
"TOM1L2",1288,7545,113.87124924216,19.4388560667862,14.4819088442274,2.47219331893504
"AC122129.1",0,0,0,0,0,0
"DRC3",27,73,1.10173640751195,0.407491547983873,0.150264103588646,0.0555771342040198
"ATPAF2",171,570,8.60259934632621,2.58077980389786,1.54918050537119,0.464754151611356
"GID4",182,1065,16.0732777260305,2.7467948790024,3.15471594230236,0.539115776055427
"DRG2",635,947,14.2923887385455,9.58359751739849,1.93036044550857,1.29438108014566
"MYO15A",21,9,0.135830515994624,0.316937870654123,0.00679152579973122,0.0158468935327062
"AC087164.1",3,4,0.060369118219833,0.0452768386648748,0.0264893015444638,0.0198669761583479
"ALKBH5",753,5886,88.8331574604843,11.3644865048836,24.669024565533,3.15592516103404
"LLGL1",425,2881,43.4808573978347,6.41421881085726,6.59800567493699,0.973326071450267
"FLII",1754,12620,190.464567983573,26.4718583393968,30.1941293569393,4.19655331949854
"MIEF2",532,872,13.1604677719236,8.02909272323779,3.36929538451705,2.0555792942237
"AC127537.1",105,27,0.407491547983873,1.58468935327062,0.544047460592621,2.11574012452686
"TOP3A",693,1389,20.963176301837,10.4589497315861,2.54902435576812,1.27175945179792
"SMCR8",1374,2823,42.6055051836472,20.7367921085126,5.13504943758553,2.4993120535751
"SHMT1",115,261,3.9390849638441,1.7356121488202,0.541008785035586,0.238375518310699
"EVPLL",0,0,0,0,0,0
"AL353997.2",0,0,0,0,0,0
"LINC02076",5,4,0.060369118219833,0.0754613977747913,0.0322656965365222,0.0403321206706527
"LGALS9C",0,0,0,0,0,0
"FAM106A",323,1314,19.8312553352151,4.87480629625152,1.98630361931241,0.488261848582884
"TBC1D28",0,0,0,0,0,0
"FOXO3B",235,402,6.06709638109322,3.54668569541519,0.980461600047385,0.573155412963024
"TRIM16L",137,786,11.8625317301972,2.06764229902928,2.74024756992312,0.477625848701613
"FBXW10",5,4,0.060369118219833,0.0754613977747913,0.0137577753463612,0.0171972191829515
"TVP23B",675,1555,23.4684947079601,10.1872886995968,4.08431860563176,1.77293572913276
"AC107982.3",48,18,0.271661031989249,0.724429418637996,0.275798002019542,0.735461338718778
"PRPSAP2",514,1356,20.4651310765234,7.75743169124854,4.32301036681948,1.63866322164101
"AC107982.2",0,0,0,0,0,0
"SLC5A10",1,5,0.0754613977747913,0.0150922795549583,0.011697627929746,0.00233952558594919
"AC090286.1",0,1,0.0150922795549583,0,0.0101358492645791,0
"FAM83G",1246,2972,44.8542548373359,18.804980325478,5.72412644682694,2.39981882663068
"GRAP",1,10,0.150922795549583,0.0150922795549583,0.0485750870774324,0.00485750870774324
"AC007952.3",0,0,0,0,0,0
"AC007952.7",0,0,0,0,0,0
"AC007952.2",6,6,0.0905536773297495,0.0905536773297495,0.0292391596156763,0.0292391596156763
"AC007952.4",189,139,2.0978268581392,2.85244083588711,3.29329177101915,4.47792909872388
"GRAPL",0,0,0,0,0,0
"AC007952.6",1,0,0,0.0150922795549583,0,0.00564619511970006
"AC007952.9",0,0,0,0,0,0
"AC007952.1",0,0,0,0,0,0
"AC007952.5",0,0,0,0,0,0
"AC007952.8",0,0,0,0,0,0
"AC106017.1",0,0,0,0,0,0
"EPN2",726,2351,35.4819492337069,10.9569949568997,4.16601493879381,1.28648525970409
"AC106017.2",0,1,0.0150922795549583,0,0.0103941319249024,0
"EPN2-AS1",0,0,0,0,0,0
"B9D1",221,662,9.99108906538236,3.33539378164577,1.17777779858333,0.393185639708331
"AC124066.1",1,3,0.0452768386648748,0.0150922795549583,0.0743462047042279,0.0247820682347426
"MAPK7",752,1453,21.9290821933543,11.3493942253286,4.22037763536458,2.18425600949357
"MFAP4",100,2122,32.0258172156214,1.50922795549583,14.8818853232442,0.701314105713673
"AC004448.5",0,0,0,0,0,0
"RNF112",10,159,2.39967244923836,0.150922795549583,0.657084460360997,0.0413260666893709
"AC004448.3",0,0,0,0,0,0
"AC004448.2",0,0,0,0,0,0
"LINC02094",0,2,0.0301845591099165,0,0.0580472290575317,0
"AC004448.1",0,0,0,0,0,0
"SLC47A1",10,46,0.69424485952808,0.150922795549583,0.121392701438727,0.0263897177040711
"AC025627.1",0,0,0,0,0,0
"ALDH3A2",560,2114,31.9050789791818,8.45167655077662,2.08108270688029,0.551280187253057
"AC115989.1",0,0,0,0,0,0
"SLC47A2",3,14,0.211291913769416,0.0452768386648748,0.0315785254475289,0.00676682688161333
"AC005722.3",0,1,0.0150922795549583,0,0.0044784212329253,0
"AC005722.4",0,0,0,0,0,0
"ALDH3A1",2,9,0.135830515994624,0.0301845591099165,0.0350259195447716,0.00778353767661591
"ULK2",371,1379,20.8122535062874,5.59923571488951,2.10906500874417,0.567413428748431
"AC015726.2",4,1,0.0150922795549583,0.060369118219833,0.123707209466871,0.494828837867484
"AC015726.1",61,23,0.34712242976404,0.920629052852454,0.497310071295186,1.31895279778288
"AKAP10",700,1741,26.2756587051823,10.5645956884708,5.42997700045099,2.18321878249035
"AC005730.3",36,13,0.196199634214457,0.543322063978497,0.536064574356441,1.48448651360245
"AC005730.2",0,3,0.0452768386648748,0,0.0382405731966848,0
"SPECC1",757,2570,38.7871584562427,11.4248556231034,2.83614788360944,0.835394532253831
"AC004702.1",9,3,0.0452768386648748,0.135830515994624,0.232188916230127,0.696566748690381
"AC008088.1",0,0,0,0,0,0
"LGALS9B",0,0,0,0,0,0
"AC015818.7",0,0,0,0,0,0
"AC015818.2",3,2,0.0301845591099165,0.0452768386648748,0.0359339989403768,0.0539009984105652
"AC015818.8",0,0,0,0,0,0
"AC015818.4",0,0,0,0,0,0
"CDRT15L2",0,0,0,0,0,0
"LINC02088",0,0,0,0,0,0
"AC126365.1",1,1,0.0150922795549583,0.0150922795549583,0.00996848055149158,0.00996848055149158
"CCDC144NL",0,0,0,0,0,0
"AC090774.2",0,0,0,0,0,0
"CCDC144NL-AS1",75,224,3.38067062031065,1.13192096662187,0.253975705830565,0.0850365086486266
"AC107926.1",0,1,0.0150922795549583,0,0.0243031876891437,0
"USP22",3704,17741,267.752131584514,55.9018034715654,39.508946670284,8.24875364786268
"AC087393.2",0,0,0,0,0,0
"LINC01563",1,1,0.0150922795549583,0.0150922795549583,0.00445331353052766,0.00445331353052766
"DHRS7B",99,363,5.47849747844985,1.49413567594087,0.988184970860362,0.269504992052826
"TMEM11",400,664,10.0212736244923,6.0369118219833,3.02849006482088,1.82439160531378
"AC087294.1",99,80,1.20738236439666,1.49413567594087,0.584688796317995,0.723552385443519
"NATD1",313,1229,18.5484115730437,4.72388350070193,3.7615922881857,0.957997059562347
"MAP2K3",1787,4217,63.644142883259,26.9699035647104,16.8593755982143,7.14434531515507
"KCNJ12",3,15,0.226384193324374,0.0452768386648748,0.0415003104169338,0.00830006208338676
"LINC02693",403,1012,15.2733869096178,6.08218866064818,0.884746968059883,0.352325126608827
"AC068418.3",0,0,0,0,0,0
"AC068418.2",0,0,0,0,0,0
"AC068418.1",0,0,0,0,0,0
"AC233702.5",0,0,0,0,0,0
"AC233702.7",0,0,0,0,0,0
"KCNJ18",0,0,0,0,0,0
"LINC02002",0,0,0,0,0,0
"AC138761.1",0,0,0,0,0,0
"FAM27E5",0,0,0,0,0,0
"AC209154.1",0,0,0,0,0,0
"AC132825.3",0,0,0,0,0,0
"MTRNR2L1",0,0,0,0,0,0
"AC132825.2",0,0,0,0,0,0
"AC131274.1",0,0,0,0,0,0
"AC069061.2",0,0,0,0,0,0
"AC129926.2",0,0,0,0,0,0
"AC129926.1",0,0,0,0,0,0
"WSB1",1328,3719,56.1281876648898,20.0425472489846,6.5250160038235,2.32998689246507
"AC026254.2",11,5,0.0754613977747913,0.166015075104541,0.0766105561165394,0.168543223456387
"KSR1",398,774,11.6814243755377,6.00672726287339,0.959223548656404,0.493244150342699
"AC069366.2",19,6,0.0905536773297495,0.286753311544207,0.210589947278487,0.666868166381876
"AC015688.6",0,0,0,0,0,0
"LGALS9",28,1,0.0150922795549583,0.422583827538831,0.002641280986167,0.0739558676126761
"NOS2",0,0,0,0,0,0
"AC005697.2",0,0,0,0,0,0
"LYRM9",64,196,2.95808679277182,0.965905891517328,0.54983025887952,0.1795364110627
