"Enh","Beluga.MaxDisScore"
"Enh203",1.41267075338196
"Enh204",0.777465606615685
"Enh205",3.85078088426434
"Enh206",2.89177334328656
"Enh207",1.01640528267229
"Enh208",2.64762450480655
"Enh209",1.38574626926079
"Enh21",0.960851694846979
"Enh210",2.93967997093371
"Enh211",2.93967997093371
"Enh212",1.67520328235771
"Enh213",2.04817696463556
"Enh214",1.78624324756697
"Enh215",2.36011525798417
"Enh216",2.99139982781229
"Enh217",1.34674888397669
"Enh218",2.6779875612107
"Enh219",2.41116827429386
"Enh22",1.74884865680029
"Enh220",4.07572070876809
"Enh221",3.15926676476147
"Enh222",3.15926676476147
"Enh223",3.51286162310809
"Enh224",1.82033333128079
"Enh225",1.82033333128079
"Enh226",2.21566805190649
"Enh227",3.03011835578804
"Enh228",3.03011835578804
"Enh229",1.17439215275696
"Enh23",1.53512312852692
"Enh230",2.24626377774842
"Enh231",3.16494389764494
"Enh232",3.16494389764494
"Enh233",0.933480269702858
"Enh234",2.07293775645563
"Enh235",0.985802992500994
"Enh236",2.16247469048727
"Enh237",2.75572287895068
"Enh238",2.8419392057616
"Enh239",2.8419392057616
"Enh24",1.55021315299881
"Enh240",2.8419392057616
"Enh241",2.27205229037395
"Enh242",2.48704891989421
"Enh243",2.60432421455544
"Enh244",2.61996975185113
"Enh245",2.5446982281907
"Enh246",2.74593554684372
"Enh247",2.39361863478189
"Enh248",3.06752623481551
"Enh249",3.06752623481551
"Enh25",1.92401531521942
"Enh250",3.06752623481551
"Enh251",0.632496853869082
"Enh252",2.05007355628335
"Enh253",0.949237552610192
"Enh254",3.26680273409066
"Enh255",1.74557277843516
"Enh256",2.37008096439463
"Enh257",2.11861534317236
"Enh258",2.11861534317236
"Enh259",3.92445303495801
"Enh26",2.23106605773928
"Enh260",2.60888838612072
"Enh261",2.60888838612072
"Enh262",3.12205304779555
"Enh263",2.25555054247498
"Enh264",2.45494041518219
"Enh265",2.45494041518219
"Enh266",2.45494041518219
"Enh267",1.29323955820947
"Enh268",2.80437705613625
"Enh269",2.80437705613625
"Enh27",1.96597347618473
"Enh270",1.88054614921095
"Enh271",1.76728335019642
"Enh272",2.3653212477206
"Enh273",2.12153565460108
"Enh274",1.93363679770423
"Enh275",2.04272801995914
"Enh276",1.50744912828185
"Enh277",2.48082853604694
"Enh278",1.16705700980806
"Enh28",2.70487291452769
"Enh280",4.29242981538629
"Enh281",2.43997375096749
"Enh282",2.67985371368114
"Enh283",2.84771165531111
"Enh284",2.84771165531111
"Enh285",0.908885492685819
"Enh286",4.42021639195459
"Enh287",3.17457388158299
"Enh288",3.15058058558881
"Enh289",1.1057171754045
"Enh29",2.70487291452769
"Enh290",2.87745647560371
"Enh291",2.50265561884424
"Enh292",2.61493022348911
"Enh293",1.28924816510742
"Enh294",3.03011835578804
"Enh295",3.02965312330493
"Enh296",1.82967960009728
"Enh297",2.98338445202482
"Enh298",2.14284849725216
"Enh299",2.14284849725216
"Enh3",2.26889494870341
"Enh30",1.1539289902074
"Enh300",1.92712540315229
"Enh301",1.97514505165397
"Enh302",1.06771399664564
"Enh303",1.72964729820051
"Enh304",2.96257350166093
"Enh305",2.70707970017874
"Enh306",2.70707970017874
"Enh307",1.64454847985433
"Enh308",2.69143558622535
"Enh309",1.37276732014131
"Enh31",2.22155931635643
"Enh310",1.58355921418545
"Enh311",1.52488110885779
"Enh312",2.16215913828139
"Enh313",1.32743114183713
"Enh314",2.08359869634347
"Enh315",1.36078253786027
"Enh316",2.05438372072404
"Enh317",2.129830278805
"Enh318",2.82681373129626
"Enh319",2.30259627671234
"Enh32",1.56881320666591
"Enh320",4.23657199894921
"Enh321",4.42021639195459
"Enh322",2.81872822815444
"Enh323",2.37130461718386
"Enh324",2.72147503503429
"Enh325",2.20190206786838
"Enh327",2.262250926029
"Enh328",2.262250926029
"Enh329",1.50379016189026
"Enh33",1.21960347054553
"Enh330",2.12627261929523
"Enh331",1.52760927235874
"Enh332",2.27670855344028
"Enh333",2.27670855344028
"Enh334",2.40516564430629
"Enh335",2.03105031897201
"Enh336",3.82681372867281
"Enh337",2.36501919984812
"Enh338",1.48603701261471
"Enh339",2.12056003394746
"Enh34",1.29219996412535
"Enh340",2.72078948717025
"Enh341",2.72078948717025
"Enh342",2.80410034731413
"Enh343",2.33951398412012
"Enh344",1.02711708361895
"Enh345",1.08280969148318
"Enh346",1.62424496522649
"Enh347",1.7772575239474
"Enh348",1.7772575239474
"Enh349",2.04387961355893
"Enh35",1.38103196468952
"Enh350",1.76042526289177
"Enh351",1.76042526289177
"Enh352",3.47366072131761
"Enh353",3.47366072131761
"Enh354",3.47366072131761
"Enh355",3.01502287313492
"Enh356",2.83268266495639
"Enh357",3.9913998239801
"Enh358",2.01954210767847
"Enh359",3.01772876650801
"Enh36",1.5114915869563
"Enh360",2.79751168266746
"Enh361",3.77989190934371
"Enh362",2.55579901097967
"Enh363",1.67119242981754
"Enh364",1.71611106200136
"Enh365",1.71611106200136
"Enh366",2.30416822708582
"Enh367",1.85170590253439
"Enh368",3.0867160977093
"Enh369",1.84859950193373
"Enh37",1.42707034090902
"Enh370",2.9023956707787
"Enh371",2.25305459030712
"Enh372",1.98754242175702
"Enh373",1.49777778421986
"Enh374",1.60691639789298
"Enh375",1.84749761950831
"Enh376",1.45350669095948
"Enh377",1.7851031924133
"Enh378",1.7851031924133
"Enh379",1.88860305062079
"Enh38",2.54882784233378
"Enh380",2.56050940945244
"Enh381",2.75795576038171
"Enh382",2.75795576038171
"Enh383",1.75345218223356
"Enh384",2.76853040931444
"Enh385",1.46997969348248
"Enh386",2.2888679276087
"Enh387",2.33310778883995
"Enh388",2.33310778883995
"Enh389",3.5622494355946
"Enh39",2.01063918617924
"Enh390",3.5622494355946
"Enh391",1.20823218110406
"Enh392",3.34294414618624
"Enh393",2.64035420713573
"Enh394",2.72908836035677
"Enh395",3.12959609413566
"Enh396",3.12959609413566
"Enh397",1.00369414112414
"Enh398",1.1539289902074
"Enh399",1.84658151493178
"Enh4",2.60695153340753
"Enh40",2.01063918617924
"Enh400",2.30803489714437
"Enh401",1.58027549642166
"Enh402",1.99900226959888
"Enh403",1.30532461772171
"Enh404",2.92045699223548
"Enh405",4.42021639195459
"Enh406",4.42021639195459
"Enh407",2.45494041518219
"Enh408",1.15653673936663
"Enh409",2.28853021804128
"Enh41",1.98300842175203
"Enh410",0.374949027732865
"Enh411",1.83274175692682
"Enh412",1.83274175692682
"Enh413",1.05679742016539
"Enh414",3.27736607664368
"Enh415",1.60138301981943
"Enh416",2.46788288362365
"Enh417",2.46788288362365
"Enh418",1.24233072498553
"Enh419",0.88573939455066
"Enh42",1.98300842175203
"Enh420",1.47358317693469
"Enh421",3.49485002032294
"Enh422",2.79723931233451
"Enh423",4.10790539174152
"Enh424",1.63727254970596
"Enh425",1.39701811205576
"Enh426",1.39701811205576
"Enh427",2.03682628357747
"Enh428",4.42021639195459
"Enh429",2.25305459030712
"Enh43",2.57430278647444
"Enh430",2.65227978277095
"Enh431",2.20558166905613
"Enh432",1.70127788637246
"Enh433",3.31336372984411
"Enh434",3.53760200060346
"Enh435",4.00877391987574
"Enh436",4.00877391987574
"Enh437",3.9913998239801
"Enh438",3.9913998239801
"Enh439",3.06550154825145
"Enh44",2.57430278647444
"Enh440",2.39104630061727
"Enh441",2.45197930497151
"Enh442",2.93033190271847
"Enh443",2.65836766402418
"Enh444",2.63488656818506
"Enh445",3.43770713435361
"Enh446",1.63169451614212
"Enh447",1.75790601609125
"Enh448",4.42021639195459
"Enh449",2.74304184719873
"Enh45",2.02682594727083
"Enh450",2.74304184719873
"Enh451",1.19431567588183
"Enh452",1.53262871233772
"Enh453",2.48306819099989
"Enh454",2.01407977983157
"Enh455",3.91364016576522
"Enh456",3.91364016576522
